,dyad,ec,ec_avg
645,D002,0.0,0.0
646,D002,0.0,0.0
647,D002,0.0,0.0
648,D002,0.0,0.0
649,D002,0.0,0.0
650,D002,0.0,0.0
651,D002,0.0,0.0
652,D002,0.0,0.384
653,D002,1.0,0.694
654,D002,0.0,0.0
655,D002,0.0,0.0
656,D002,0.0,0.0
657,D002,0.0,0.0
658,D002,0.0,0.22
659,D002,1.0,0.054
660,D002,0.0,0.287
661,D002,0.0,0.0
662,D002,0.0,0.0
663,D002,0.0,0.0
664,D002,0.0,0.0
665,D002,0.0,0.0
666,D002,0.0,0.477
667,D002,0.0,0.144
668,D002,0.0,0.0
669,D002,0.0,0.0
670,D002,0.0,0.0
671,D002,0.0,0.0
672,D002,0.0,0.272
673,D002,0.0,0.0
674,D002,0.0,0.0
675,D002,0.0,0.0
676,D002,0.0,0.0
677,D002,0.0,0.0
678,D002,0.0,0.0
679,D002,0.0,0.59
680,D002,1.0,0.179
681,D002,0.0,0.241
682,D002,1.0,0.609
683,D002,0.0,0.0
684,D002,0.0,0.0
685,D002,0.0,0.0
686,D002,0.0,0.0
687,D002,0.0,0.0
688,D002,0.0,0.0
689,D002,0.0,0.0
690,D002,0.0,0.0
691,D002,0.0,0.0
692,D002,0.0,0.538
693,D002,1.0,0.304
694,D002,0.0,0.0
695,D002,0.0,0.0
696,D002,0.0,0.0
697,D002,0.0,0.0
698,D002,0.0,0.0
699,D002,0.0,0.0
700,D002,0.0,0.0
701,D002,0.0,0.0
702,D002,0.0,0.0
703,D002,0.0,0.033
704,D002,0.0,0.0
705,D002,0.0,0.0
706,D002,0.0,0.0
707,D002,0.0,0.0
708,D002,0.0,0.0
709,D002,0.0,0.0
710,D002,0.0,0.634
711,D002,0.0,0.105
712,D002,1.0,0.684
713,D002,0.0,0.0
714,D002,0.0,0.0
715,D002,0.0,0.0
716,D002,0.0,0.0
717,D002,0.0,0.671
718,D002,1.0,0.244
719,D002,0.0,0.599
720,D002,0.0,0.035
721,D002,1.0,0.359
722,D002,0.0,0.0
723,D002,0.0,0.0
724,D002,0.0,0.0
725,D002,0.0,0.0
726,D002,0.0,0.529
727,D002,0.0,0.0
728,D002,0.0,0.0
729,D002,0.0,0.0
730,D002,0.0,0.03
731,D002,1.0,1.0
732,D002,1.0,0.672
733,D002,0.0,0.0
734,D002,0.0,0.559
735,D002,1.0,0.275
736,D002,0.0,0.0
737,D002,0.0,0.0
738,D002,0.0,0.0
739,D002,0.0,0.0
740,D002,0.0,0.0
741,D002,0.0,0.065
742,D002,1.0,0.564
743,D002,0.0,0.0
744,D002,0.0,0.0
745,D002,0.0,0.0
746,D002,0.0,0.305
747,D002,1.0,0.274
748,D002,0.0,0.0
749,D002,0.0,0.0
750,D002,0.0,0.0
751,D002,0.0,0.15
752,D002,1.0,0.374
753,D002,0.0,0.0
754,D002,0.0,0.0
755,D002,0.0,0.0
756,D002,0.0,0.0
757,D002,0.0,0.0
758,D002,0.0,0.56
759,D002,1.0,0.28
760,D002,0.0,0.605
761,D002,1.0,1.0
762,D002,1.0,1.0
763,D002,1.0,0.659
764,D002,0.0,0.63
765,D002,1.0,0.914
766,D002,0.0,0.085
767,D002,1.0,0.334
768,D002,0.0,0.0
769,D002,0.0,0.0
770,D002,0.0,0.265
771,D002,1.0,0.924
772,D002,0.0,0.0
773,D002,0.0,0.0
774,D002,0.0,0.541
775,D002,1.0,0.354
776,D002,0.0,0.424
777,D002,0.0,0.204
778,D002,0.0,0.0
779,D002,0.0,0.0
780,D002,0.0,0.0
781,D002,0.0,0.0
782,D002,0.0,0.0
783,D002,0.0,0.0
784,D002,0.0,0.0
785,D002,0.0,0.0
786,D002,0.0,0.0
787,D002,0.0,0.79
788,D002,1.0,0.904
789,D002,0.0,0.295
790,D002,1.0,0.189
791,D002,0.0,0.0
792,D002,0.0,0.0
793,D002,0.0,0.0
794,D002,0.0,0.0
795,D002,0.0,0.81
796,D002,1.0,0.264
797,D002,0.0,0.925
798,D002,1.0,0.964
799,D002,0.0,0.0
800,D002,0.0,0.395
